City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-4.82,51,75,6.17,US,1682402005
1,asau,46.4333,26.4,6.51,83,100,1.54,RO,1682402006
2,adamstown,-25.066,-130.1015,25.16,88,99,3.85,PN,1682402006
3,huilong,31.8111,121.655,12.95,63,100,5.34,CN,1682402006
4,chibougamau,49.9168,-74.3659,1.79,100,100,2.57,CA,1682402007
5,bethel,41.3712,-73.414,8.05,79,0,0.0,US,1682401858
6,fale old settlement,-9.3852,-171.2468,29.15,73,18,3.93,TK,1682402007
7,hasaki,35.7333,140.8333,17.34,58,63,6.41,JP,1682402007
8,yanda bayo,11.5071,10.7459,27.95,50,100,1.98,NG,1682402008
9,ribeira grande,38.5167,-28.7,17.65,96,80,5.81,PT,1682402008
10,ardmore,34.1743,-97.1436,14.88,61,100,2.06,US,1682402008
11,saipan,15.1355,145.701,28.39,100,40,8.75,MP,1682402009
12,saint-philippe,-21.3585,55.7679,23.77,75,63,0.44,RE,1682402009
13,alofi,-19.0595,-169.9187,25.94,83,43,1.03,NU,1682402009
14,douglas,41.3,-96.167,12.49,59,40,4.63,US,1682401928
15,georgetown,5.4112,100.3354,31.97,66,20,4.63,MY,1682401862
16,port elizabeth,-33.918,25.5701,18.39,84,75,2.06,ZA,1682402010
17,dembi dolo,8.5333,34.8,21.26,62,73,1.01,ET,1682402010
18,puerto ayora,-0.7393,-90.3518,23.64,95,45,0.45,EC,1682402011
19,dalai,45.5,124.3,3.1,77,100,8.14,CN,1682402011
20,port-aux-francais,-49.35,70.2167,4.82,69,77,6.1,TF,1682402011
21,roxas city,11.5853,122.7511,28.97,58,37,3.51,PH,1682402011
22,yellowknife,62.456,-114.3525,3.29,65,20,4.63,CA,1682401870
23,blackmans bay,-43.0167,147.3167,21.07,57,87,1.69,AU,1682402012
24,kununurra,-15.7667,128.7333,34.99,36,66,4.12,AU,1682402012
25,maputo,-25.9653,32.5892,21.24,89,20,3.6,MZ,1682402013
26,vityazevo,44.9931,37.2719,12.23,87,75,7.15,RU,1682402013
27,ilulissat,69.2167,-51.1,0.01,74,71,2.06,GL,1682402013
28,arantangi,10.1667,78.9833,32.21,55,100,4.25,IN,1682402013
29,xining,36.6167,101.7667,15.69,15,0,2.1,CN,1682402014
30,kyzylorda,44.8528,65.5092,20.01,26,0,16.0,KZ,1682402014
31,dakhla,23.6848,-15.958,18.41,90,0,6.95,EH,1682402014
32,invercargill,-46.4,168.35,11.68,82,100,0.89,NZ,1682402014
33,okhotsk,59.3833,143.3,1.73,74,88,1.54,RU,1682402015
34,antsiranana,-12.2787,49.2917,29.42,74,40,4.12,MG,1682402015
35,kamaishi,39.2667,141.8833,9.89,42,53,4.12,JP,1682402015
36,lebu,-37.6167,-73.65,9.76,89,66,1.08,CL,1682402015
37,udachny,66.4167,112.4,0.25,42,100,7.45,RU,1682402016
38,san andres,12.5847,-81.7006,27.01,69,20,2.06,CO,1682402016
39,longyearbyen,78.2186,15.6401,-9.09,79,0,2.57,SJ,1682402016
40,santa vitoria do palmar,-33.5189,-53.3681,19.37,84,68,4.44,BR,1682402016
41,kapa'a,22.0752,-159.319,23.99,90,100,3.6,US,1682402017
42,hermanus,-34.4187,19.2345,15.6,85,11,1.78,ZA,1682402017
43,utrik,11.2278,169.8474,27.13,83,97,9.76,MH,1682402017
44,waitangi,-43.9535,-176.5597,13.23,81,92,6.26,NZ,1682402017
45,klyuchi,52.2667,79.1667,8.31,30,71,4.46,RU,1682402017
46,hawaiian paradise park,19.5933,-154.9731,24.73,90,100,1.54,US,1682402018
47,hadibu,12.65,54.0333,29.46,59,3,0.19,YE,1682402018
48,anadyr,64.75,177.4833,-5.72,68,0,3.0,RU,1682402018
49,papatowai,-46.5619,169.4708,15.35,88,100,8.48,NZ,1682402018
50,tabou,4.423,-7.3528,26.52,88,94,2.64,CI,1682402019
51,port alfred,-33.5906,26.891,18.99,92,96,0.89,ZA,1682402019
52,inhambane,-23.865,35.3833,24.3,71,94,1.52,MZ,1682402019
53,iqaluit,63.7506,-68.5145,-1.15,100,100,1.54,CA,1682402019
54,olonkinbyen,70.9221,-8.7187,-3.65,79,90,7.25,SJ,1682402019
55,vila franca do campo,37.7167,-25.4333,17.23,98,100,3.9,PT,1682402020
56,puerto natales,-51.7236,-72.4875,5.95,92,67,2.96,CL,1682402020
57,margate,51.3813,1.3862,5.39,81,46,2.68,GB,1682402020
58,kodinsk,58.6881,99.1844,9.33,58,100,3.14,RU,1682402020
59,chonchi,-42.6128,-73.8092,10.62,97,100,2.47,CL,1682402020
60,nemuro,43.3236,145.575,5.55,64,46,1.69,JP,1682402021
61,avarua,-21.2078,-159.775,26.03,73,55,5.66,CK,1682402021
62,ust-nera,64.5667,143.2,-0.88,81,91,2.94,RU,1682402021
63,daru,-9.0763,143.2092,27.65,86,100,5.89,PG,1682402021
64,naze,28.3667,129.4833,23.51,78,68,6.18,JP,1682402022
65,punta arenas,-53.15,-70.9167,4.06,87,20,6.17,CL,1682402022
66,lobva,59.1854,60.5185,18.23,38,16,4.98,RU,1682402022
67,albany,42.6001,-73.9662,4.7,83,55,0.89,US,1682401798
68,carnarvon,-24.8667,113.6333,20.87,52,44,6.95,AU,1682402022
69,afaahiti,-17.75,-149.2833,26.7,84,89,5.74,PF,1682402023
70,garachico,28.7781,-17.7646,16.06,72,0,4.63,ES,1682402023
71,kegen,43.0197,79.2203,6.07,79,100,1.54,KZ,1682402023
72,shache,38.4167,77.2406,25.04,11,4,0.98,CN,1682402023
73,remire-montjoly,4.9167,-52.2667,23.02,100,100,1.03,GF,1682402024
74,ushuaia,-54.8,-68.3,3.81,81,40,2.57,AR,1682401850
75,port mathurin,-19.6833,63.4167,25.99,81,86,8.75,MU,1682402024
76,isola di capo rizzuto,38.96,17.0933,15.1,71,87,6.72,IT,1682402024
77,thompson,55.7435,-97.8558,-1.91,64,0,2.06,CA,1682402024
78,sinop,41.7711,34.8709,5.24,68,7,2.95,TR,1682402025
79,flying fish cove,-10.4217,105.6791,27.22,76,100,4.09,CX,1682402025
80,keflavik,64.0049,-22.5624,2.24,64,40,6.17,IS,1682402025
81,edinburgh of the seven seas,-37.0676,-12.3116,16.67,73,87,13.04,SH,1682402025
82,pisco,-13.7,-76.2167,21.12,83,73,2.57,PE,1682402025
83,piton saint-leu,-21.2196,55.3151,24.67,88,75,7.72,RE,1682402026
84,sarvar,47.2539,16.9352,9.92,72,88,4.58,HU,1682402026
85,piti village,13.4626,144.6933,31.49,75,75,6.17,GU,1682402026
86,palmas,-10.2128,-48.3603,22.93,100,40,2.57,BR,1682402026
87,walvis bay,-22.9575,14.5053,15.05,88,0,0.51,NA,1682402027
88,sao jose da coroa grande,-8.8978,-35.1478,24.14,87,19,2.26,BR,1682402027
89,grytviken,-54.2811,-36.5092,2.84,95,93,4.25,GS,1682402027
90,san antonio de pale,-1.4014,5.6325,28.03,71,97,2.07,GQ,1682402027
91,whitehorse,60.7161,-135.0538,2.43,60,75,5.66,CA,1682401879
92,sungai penuh,-2.0833,101.3833,20.47,96,100,0.25,ID,1682402028
93,ishigaki,24.3448,124.1572,23.07,88,75,3.6,JP,1682402028
94,south hedland,-20.4089,118.5983,29.96,54,79,5.66,AU,1682402028
95,macapa,0.0389,-51.0664,24.99,100,20,0.51,BR,1682402028
96,hamilton,39.1834,-84.5333,4.47,76,0,2.06,US,1682401730
97,lihue,21.9789,-159.3672,23.58,91,100,3.6,US,1682402029
98,tiksi,71.6872,128.8694,-5.43,88,100,6.11,RU,1682402029
99,san nicolas de los arroyos,-33.3358,-60.2252,16.02,86,100,0.38,AR,1682402029
100,villa gesell,-37.2639,-56.973,18.92,94,90,1.99,AR,1682402029
101,mogadishu,2.0371,45.3438,28.11,69,98,3.78,SO,1682402030
102,eirunepe,-6.6603,-69.8736,22.03,99,100,0.65,BR,1682402030
103,monrovia,6.3005,-10.7969,22.87,82,81,2.12,LR,1682401742
104,alice springs,-23.7,133.8833,28.75,26,1,2.06,AU,1682401987
105,stanley,54.868,-1.6985,0.39,89,0,2.06,GB,1682402031
106,arraial do cabo,-22.9661,-42.0278,21.2,85,10,1.88,BR,1682402031
107,nadym,65.5333,72.5167,-1.88,80,28,5.9,RU,1682402031
108,mount pearl,47.5166,-52.7813,1.64,96,100,7.2,CA,1682402031
109,ghat,24.9647,10.1728,23.19,27,1,0.88,LY,1682402031
110,zarinsk,53.7074,84.9493,4.28,40,41,7.26,RU,1682402032
111,puerto baquerizo moreno,-0.9,-89.6,25.23,81,50,2.96,EC,1682402032
112,kirensk,57.7853,108.1119,8.1,47,49,1.44,RU,1682402032
113,al kharijah,25.4514,30.5464,27.06,19,4,8.43,EG,1682402032
